# acc_train	loss_train	acc_val	loss_val
3.996605431309904333e+01 1.644289508033484282e+00 3.994264240506328889e+01 1.639406092559235084e+00
5.011731230031949735e+01 1.383252477493529975e+00 4.900118670886076444e+01 1.393808269802528033e+00
5.329223242811501393e+01 1.294821546100579868e+00 5.157238924050633244e+01 1.323682246328909295e+00
5.884085463258785609e+01 1.160389788234576613e+00 5.647745253164556800e+01 1.209816565996483906e+00
6.298172923322683658e+01 1.039612136519374230e+00 5.918710443037974755e+01 1.124597971952414177e+00
6.796375798722044692e+01 9.084507013662174169e-01 6.338014240506328889e+01 1.021589168264896097e+00
7.098891773162939955e+01 8.290602252506219516e-01 6.556566455696201956e+01 9.663586593881438036e-01
7.374450878594250014e+01 7.494720871836993981e-01 6.676226265822784001e+01 9.293153202986415007e-01
7.611321884984025132e+01 6.868415206385115601e-01 6.746439873417720889e+01 9.139484838594363891e-01
7.812500000000000000e+01 6.266408090393382757e-01 6.776107594936708267e+01 9.197483998310717057e-01
8.247054712460062831e+01 5.076519162319719225e-01 7.127175632911392711e+01 8.272073419788216198e-01
8.373352635782748621e+01 4.634583663826171707e-01 7.154865506329115021e+01 8.390412941763673027e-01
8.322184504792332405e+01 4.799449155315423376e-01 7.050039556962025245e+01 8.934268227106407778e-01
8.771715255591054472e+01 3.624886419064701770e-01 7.227056962025316977e+01 8.377336075034322871e-01
8.787190495207667595e+01 3.492267145135531936e-01 7.213212025316455822e+01 8.473728600936599742e-01
8.988618210862620117e+01 2.929419900376956654e-01 7.260680379746835911e+01 8.618259452566315870e-01
9.043280750798722067e+01 2.698996834004648848e-01 7.316060126582279111e+01 8.962478381168993424e-01
9.226737220447283505e+01 2.248050364823387104e-01 7.368473101265823288e+01 8.636473085306868303e-01
9.233226837060702508e+01 2.206790770490329456e-01 7.341772151898734933e+01 8.899562102329882096e-01
9.305611022364217888e+01 1.969418838477363098e-01 7.303204113924050489e+01 9.030272651322280852e-01
